Date,CLOSE
2020-05-26 13:31:00,9565.801
2020-05-26 13:32:00,9544.541
2020-05-26 13:33:00,9538.381
2020-05-26 13:34:00,9544.36
2020-05-26 13:35:00,9542.658
2020-05-26 13:36:00,9537.155
2020-05-26 13:37:00,9527.825
2020-05-26 13:38:00,9536.146
2020-05-26 13:39:00,9532.939
2020-05-26 13:40:00,9531.08
2020-05-26 13:41:00,9531.704
2020-05-26 13:42:00,9540.59
2020-05-26 13:43:00,9545.253
2020-05-26 13:44:00,9543.546
2020-05-26 13:45:00,9542.96
2020-05-26 13:46:00,9546.526
2020-05-26 13:47:00,9540.128
2020-05-26 13:48:00,9532.212
2020-05-26 13:49:00,9530.662
2020-05-26 13:50:00,9527.751
2020-05-26 13:51:00,9518.015
2020-05-26 13:52:00,9511.864
2020-05-26 13:53:00,9517.207
2020-05-26 13:54:00,9516.098
2020-05-26 13:55:00,9512.111
2020-05-26 13:56:00,9510.024
2020-05-26 13:57:00,9499.64
2020-05-26 13:58:00,9488.636
2020-05-26 13:59:00,9493.035
2020-05-26 14:00:00,9500.849
2020-05-26 14:01:00,9511.253
2020-05-26 14:02:00,9512.642
2020-05-26 14:03:00,9515.923
2020-05-26 14:04:00,9508.44
2020-05-26 14:05:00,9511.67
2020-05-26 14:06:00,9515.647
2020-05-26 14:07:00,9516.573
2020-05-26 14:08:00,9512.373
2020-05-26 14:09:00,9508.168
2020-05-26 14:10:00,9508.871
2020-05-26 14:11:00,9511.083
2020-05-26 14:12:00,9516.998
2020-05-26 14:13:00,9513.184
2020-05-26 14:14:00,9513.636
2020-05-26 14:15:00,9514.544
2020-05-26 14:16:00,9516.319
2020-05-26 14:17:00,9518.261
2020-05-26 14:18:00,9515.691
2020-05-26 14:19:00,9518.998
2020-05-26 14:20:00,9519.464
2020-05-26 14:21:00,9516.831
2020-05-26 14:22:00,9514.693
2020-05-26 14:23:00,9523.274
2020-05-26 14:24:00,9524.277
2020-05-26 14:25:00,9525.558
2020-05-26 14:26:00,9526.283
2020-05-26 14:27:00,9521.854
2020-05-26 14:28:00,9525.278
2020-05-26 14:29:00,9522.926
2020-05-26 14:30:00,9526.284
2020-05-26 14:31:00,9523.201
2020-05-26 14:32:00,9523.073
2020-05-26 14:33:00,9517.621
2020-05-26 14:34:00,9518.144
2020-05-26 14:35:00,9513.6
2020-05-26 14:36:00,9509.894
2020-05-26 14:37:00,9510.041
2020-05-26 14:38:00,9514.342
2020-05-26 14:39:00,9514.185
2020-05-26 14:40:00,9510.04
2020-05-26 14:41:00,9508.713
2020-05-26 14:42:00,9502.283
2020-05-26 14:43:00,9495.321
2020-05-26 14:44:00,9485.161
2020-05-26 14:45:00,9488.439
2020-05-26 14:46:00,9496.409
2020-05-26 14:47:00,9499.113
2020-05-26 14:48:00,9497.83
2020-05-26 14:49:00,9505.017
2020-05-26 14:50:00,9502.913
2020-05-26 14:51:00,9507.659
2020-05-26 14:52:00,9513.0
2020-05-26 14:53:00,9512.114
2020-05-26 14:54:00,9511.699
2020-05-26 14:55:00,9513.798
2020-05-26 14:56:00,9510.777
2020-05-26 14:57:00,9511.58
2020-05-26 14:58:00,9510.478
2020-05-26 14:59:00,9509.206
2020-05-26 15:00:00,9508.203
2020-05-26 15:01:00,9509.225
2020-05-26 15:02:00,9510.4
2020-05-26 15:03:00,9511.691
2020-05-26 15:04:00,9509.79
2020-05-26 15:05:00,9506.698
2020-05-26 15:06:00,9497.4
2020-05-26 15:07:00,9502.623
2020-05-26 15:08:00,9500.197
2020-05-26 15:09:00,9499.822
2020-05-26 15:10:00,9500.697
2020-05-26 15:11:00,9497.414
2020-05-26 15:12:00,9495.047
2020-05-26 15:13:00,9498.08
2020-05-26 15:14:00,9497.219
2020-05-26 15:15:00,9496.662
2020-05-26 15:16:00,9495.277
2020-05-26 15:17:00,9489.269
2020-05-26 15:18:00,9489.491
2020-05-26 15:19:00,9489.635
2020-05-26 15:20:00,9491.364
2020-05-26 15:21:00,9493.601
2020-05-26 15:22:00,9488.678
2020-05-26 15:23:00,9495.632
2020-05-26 15:24:00,9490.549
2020-05-26 15:25:00,9485.351
2020-05-26 15:26:00,9474.549
2020-05-26 15:27:00,9461.358
2020-05-26 15:28:00,9459.614
2020-05-26 15:29:00,9462.686
2020-05-26 15:30:00,9467.662
2020-05-26 15:31:00,9463.316
2020-05-26 15:32:00,9457.392
2020-05-26 15:33:00,9454.02
2020-05-26 15:34:00,9459.224
2020-05-26 15:35:00,9455.535
2020-05-26 15:36:00,9454.065
2020-05-26 15:37:00,9452.872
2020-05-26 15:38:00,9448.883
2020-05-26 15:39:00,9449.418
2020-05-26 15:40:00,9453.382
2020-05-26 15:41:00,9448.582
2020-05-26 15:42:00,9447.159
2020-05-26 15:43:00,9441.978
2020-05-26 15:44:00,9436.701
2020-05-26 15:45:00,9433.004
2020-05-26 15:46:00,9433.763
2020-05-26 15:47:00,9424.308
2020-05-26 15:48:00,9422.92
2020-05-26 15:49:00,9426.038
2020-05-26 15:50:00,9431.434
2020-05-26 15:51:00,9432.087
2020-05-26 15:52:00,9434.909
2020-05-26 15:53:00,9439.796
2020-05-26 15:54:00,9437.935
2020-05-26 15:55:00,9438.493
2020-05-26 15:56:00,9441.242
2020-05-26 15:57:00,9446.083
2020-05-26 15:58:00,9444.922
2020-05-26 15:59:00,9447.598
2020-05-26 16:00:00,9449.028
